name,address,postcode,lat,long,web
National Civil War Centre,"National Civil War Centre - Newark Museum,
14 Appleton Gate,
Newark,
Nottinghamshire, NG24 1JY",NG24 1JY,53.0766764483735,-0.805907275314999,www.nationalcivilwarcentre.com
Newark Air Museum,"Drove Lane, Winthorpe, Newark-on-Trent, NG24 2NY",NG24 2NY,53.0977162883852,-0.769256694853589,www.newarkairmuseum.org
Newark Town Hall Museum & Art Gallery,"Town Hall, Market Place, Newark, Nottinghamshire, NG24 1DU",NG24 1DU,53.0764803109506,-0.809659547327125,www.newarktownhallmuseum.co.uk
North Leverton Windmill,"Mill Lane, North Leverton, Nottinghamshire, DN22 0BA",DN22 0BA,53.3291988966797,-0.837879369821565,www.north-leverton-windmill.co.uk
Northampton Museum and Art Gallery,"Guildhall Road, Northampton, NN1 1DP",NN1 1DP,52.2362697283576,-0.894235959849965,www.northampton.gov.uk/museums
City of Caves,"Upper Level, Broadmarsh Shopping Centre, Nottingham, NG1 7LS",NG1 7LS,52.949409606962,-1.14731819287905,www.cityofcaves.org.uk
Galleries of Justice Museum,"Shire Hall, High Pavement, Lace Market, Nottingham, NG1 1HN",NG1 1HN,52.9506550242593,-1.14424251228655,www.galleriesofjustice.org.uk
Green’s Windmill and Science Centre,"Green's Windmill, Windmill Lane, Sneinton, Nottingham, NG2 4QB",NG2 4QB,52.952707218668,-1.13096961595999,http://www.greensmill.org.uk/
Museum of The Mercian Regiment (Worcestershire and Sherwood Foresters Collection),"The Castle, Nottingham, NG1 6EL",NG1 6EL,52.9496597530162,-1.15465085467834,www.wfrmuseum.org.uk
New Art Exchange,"39-41 Gregory Boulevard, Nottingham, NG7 6BE",NG7 6BE,52.9660165516766,-1.16808944814991,www.thenewartexchange.org.uk
Newstead Abbey Historic House and Gardens,"Newstead Abbey Park, Nottinghamshire, NG15 8NA",NG15 8NA,53.078456090709,-1.19292874398572,www.newsteadabbey.org.uk
Nottingham Industrial Museum,"Courtyard Stables, Wollaton Park, Nottingham, NG8 2AE",NG8 2AE,52.9477815361896,-1.21095952275776,www.nottinghamindustrialmuseum.org.uk
William Booth Birthplace Museum,"10-14 Notintone Place, Sneinton, Nottingham, NG2 4QG",NG2 4QG,52.9522002203905,-1.13170911256504,www.salvationarmy.org.uk/uki/wbbm
Papplewick Pumping Station,"Rigg Lane, Ravenshead, Nottingham, NG15 9AJ",NG15 9AJ,53.0630617296303,-1.129765605704,http://www.papplewickpumpingstation.org.uk
Midland Railway - Butterley,"Butterley Station, Ripley, Derbyshire, DE5 3QZ",DE5 3QZ,53.0599698477829,-1.40418790173164,www.midlandrailwaycentre.co.uk
Framework Knitters’ Museum,"Chapel Street, Ruddington, Nottinghamshire, NG11 6HE",NG11 6HE,52.8911681381648,-1.15134476460834,www.frameworkknittersmuseum.org.uk
Village Church Farm,"The Village Church Farm, Church Road South, Skegness, Lincolnshire PE25 2HF, PE25 2HF",PE25 2HF,53.1468719011045,0.325649540388543,www.churchfarmvillage.org.uk
National Centre for Craft & Design,"Navigation Wharf, Carre Street, Sleaford, Lincolnshire, NG34 7TW",NG34 7TW,52.9980850062861,-0.408090329160295,http://www.nationalcraftanddesign.org.uk/
Canal Museum,"Stoke Bruerne, Towcester, Northants, NN12 7SE",NN12 7SE,52.1424622569823,-0.914856119741111
Sulgrave Manor,"Manor Road, Sulgrave, Banbury, Oxon, OX17 2SD",OX17 2SD,52.1057734076058,-1.18269738579053,www.sulgravemanor.org.uk
Wellingborough Museum,"Dulley's Baths, 12 Castle Way, Wellingborough, Northamptonshire, NN8 1XB",NN8 1XB,52.2999113648681,-0.689129150519229,wellingboroughmuseum.co.uk
